CVCUSDC XJ,CVCUSDC,0.537044,0.571807,0.505268,0.568151,9578623,9574298.5652
DAIUSD XJ,DAIUSD,1.00122,1.002799,1.000953,1.001341,12240721.41475,12240721.4148
DAIUSDC XJ,DAIUSDC,1.001276,1.0035,1.000551,1.001494,371023.42178,370855.9168
DASHBTC XJ,DASHBTC,0.00556904,0.00565632,0.00537593,0.0055642,1946.10220948,110198426.8322
DASHUSD XJ,DASHUSD,322.382,324.309,303.451,315.5,21693.72808177,21693.7281
DNTUSDC XJ,DNTUSDC,0.351914,0.352967,0.32,0.337978,20031112,20022068.6086
ENJBTC XJ,ENJBTC,0.0000471,0.0000471,0.0000458,0.0000466,172427.63,9763749034.276
ENJUSD XJ,ENJUSD,2.72,2.731,2.591,2.628,1795708.61,1795708.6100
EOSBTC XJ,EOSBTC,0.000114,0.000118,0.00011,0.000115,500736,28354276147.2
EOSEUR XJ,EOSEUR,5.503,5.56,5.131,5.431,475473.8,573217.7962
EOSUSD XJ,EOSUSD,6.625,6.706,6.18,6.532,2413129.9,2413129.9000
ETCBTC XJ,ETCBTC,0.000777,0.000822,0.000744,0.000793,239316.82007308,13551362800.0022
ETCEUR XJ,ETCEUR,37.162,38.63,34.805,37.248,226096.48584342,272575.5433
ETCGBP XJ,ETCGBP,32.446,33.804,30.384,32.494,67548.88173808,93467.5862
ETCUSD XJ,ETCUSD,44.776,46.687,41.812,45.986,1772022.10284825,1772022.1028
ETHBTC XJ,ETHBTC,0.05097,0.05265,0.05081,0.05214,24833.56987272,1406205860.7567
ETHDAI XJ,ETHDAI,2951.34,2981.93,2852.48,2946.33,1540.26077739,1542.3263
ETHEUR XJ,ETHEUR,2446.51,2479.49,2373.07,2449.53,19229.86483989,23182.9824
ETHGBP XJ,ETHGBP,2134.79,2165,2066.8,2135.79,10205.80382506,14121.8008
ETHUSD XJ,ETHUSD,2948.92,2986,2855.29,2952.09,158731.76363186,158731.7636
