1INCHBTC XJ,1INCHBTC,0.0001024,0.0001061,0.0000995,0.0001004,135402.85,7254884703
1INCHEUR XJ,1INCHEUR,4.532,4.76,4.423,4.696,122922.87,143340.2121
1INCHGBP XJ,1INCHGBP,3.93,4.133,3.835,4.106,72903.33,97228.1138
1INCHUSD XJ,1INCHUSD,5.476,5.759,5.342,5.651,1605290.08,1605290.0800
AAVEBTC XJ,AAVEBTC,0.00819426,0.00826071,0.00757852,0.00769532,6718.85,359995983
AAVEEUR XJ,AAVEEUR,362.559,385.11,356.248,369.866,4418.592,5317.1770
AAVEGBP XJ,AAVEGBP,316.433,328.328,309.707,321.696,1255.506,1727.9261
AAVEUSD XJ,AAVEUSD,438.95,454.961,430,444.999,54354.062,54354.0620
ADABTC XJ,ADABTC,0.00002437,0.00002525,0.00002327,0.00002344,9116598.65,488467355667
ADAETH XJ,ADAETH,0.000473,0.000497,0.00047,0.000487,3501479.04,9660300553.0368
ADAEUR XJ,ADAEUR,1.078,1.1369,1.0629,1.1255,5206502.85,6265321.0403
ADAGBP XJ,ADAGBP,0.939,0.9888,0.9242,0.9831,2599252.57,3577295.7314
ADAUSD XJ,ADAUSD,1.3066,1.372,1.2886,1.3556,55473702.58,55473702.5800
ADAUSDC XJ,ADAUSDC,1.308,1.372,1.288,1.356,2162594.91,2085404.9442
ALGOBTC XJ,ALGOBTC,0.00002469,0.00002652,0.00002403,0.0000243,3873341,207533610780
ALGOEUR XJ,ALGOEUR,1.0919,1.1978,1.0692,1.167,2554795,3074349.7753
ALGOGBP XJ,ALGOGBP,0.9501,1.0436,0.9303,1.0191,1975710,2719127.4257
ALGOUSD XJ,ALGOUSD,1.3231,1.448,1.2951,1.4046,28610155,28610155.0000
ANKRBTC XJ,ANKRBTC,0.00000308,0.00000308,0.00000291,0.00000307,14250041,763517196780
ANKREUR XJ,ANKREUR,0.13591,0.14765,0.13249,0.14704,22462021,27030000.1429
ANKRGBP XJ,ANKRGBP,0.11781,0.1288,0.11501,0.12861,11111367,15292336.8039
ANKRUSD XJ,ANKRUSD,0.16436,0.1777,0.1603,0.17715,225737331,225737331.0000
ATOMBTC XJ,ATOMBTC,0.000416,0.000435,0.000391,0.000393,140218.9,7512928662
ATOMUSD XJ,ATOMUSD,22.271,23.46,21.745,22.74,815423.1,815423.1000
BALBTC XJ,BALBTC,0.001105,0.00112751,0.001061,0.00106929,12553.96,672641176.8
BALUSD XJ,BALUSD,59.0842,63,58.02679,61.93353,91532.446,91532.4460
BANDBTC XJ,BANDBTC,0.00030758,0.00032184,0.00029501,0.00029882,40842.27,2188328826.6
BANDEUR XJ,BANDEUR,13.6061,14.5285,13.2501,14.3328,63421.29,76318.9331
BANDGBP XJ,BANDGBP,11.779,12.6449,11.5206,12.543,34595.66,47613.2671
BANDUSD XJ,BANDUSD,16.4853,17.5176,16.0514,17.25,457248.63,457248.6300
BATBTC XJ,BATBTC,0.0000222,0.0000227,0.0000215,0.0000218,533858.82,28604155575.6
BATETH XJ,BATETH,0.00043055,0.00046316,0.00042629,0.00045553,697016,1923011382.72
BATEUR XJ,BATEUR,0.98,1.062,0.964,1.051,397711.57,478592.0107
BATUSD XJ,BATUSD,1.188,1.281,1.165,1.267,3894501.58,3894501.5800
BATUSDC XJ,BATUSDC,1.186953,1.27837,1.166791,1.266234,2635138,2634360.6732
BCHBTC XJ,BCHBTC,0.01641,0.01758,0.01631,0.01723,8701.94797723,466250372.6200
BCHEUR XJ,BCHEUR,724.61,831.9,717.61,828.42,7915.70715541,9525.4815
BCHGBP XJ,BCHGBP,631.19,724,625.19,720.59,3091.86575107,4255.2687
BCHUSD XJ,BCHUSD,880.99,1000.02,869.69,997,90734.85279368,90734.8528
BNTBTC XJ,BNTBTC,0.00012484,0.00012658,0.00011876,0.00011938,104516,5599967280
