1INCHBTC XJ,1INCHBTC,0.0001027,0.0001046,0.000097,0.0000984,221600.74,11798448871.0208
1INCHEUR XJ,1INCHEUR,4.9,4.9,4.347,4.376,279052.08,350026.7064
1INCHGBP XJ,1INCHGBP,4.222,4.249,3.769,3.96,103637.5,143653.0903
1INCHUSD XJ,1INCHUSD,5.88,5.916,5.218,5.489,1704500.88,1704500.8800
AAVEBTC XJ,AAVEBTC,0.00906864,0.00909536,0.00829638,0.00841829,11400.114,606963957.5789
AAVEEUR XJ,AAVEEUR,430.439,430.973,370.094,373.79,13384.505,16788.7450
AAVEGBP XJ,AAVEGBP,373.175,373.175,320.162,323.292,4109.862,5696.7254
AAVEUSD XJ,AAVEUSD,518.819,520.229,444.21,448.723,119745.583,119745.5830
ADABTC XJ,ADABTC,0.00002384,0.0000241,0.00002312,0.00002389,12250280.66,652228462877.2672
ADAETH XJ,ADAETH,0.000396,0.000406,0.000374,0.000393,12566722.85,40716307701.2285
ADAEUR XJ,ADAEUR,1.13,1.1336,1.0476,1.0588,9373029.37,11756983.1380
ADAGBP XJ,ADAGBP,0.9813,0.9837,0.907,0.9174,4522149.63,6268201.8482
ADAUSD XJ,ADAUSD,1.3643,1.3681,1.258,1.2719,85497353.33,85497353.3300
ADAUSDC XJ,ADAUSDC,1.364,1.368,1.258,1.272,3879408.28,3879103.2951
ALGOBTC XJ,ALGOBTC,0.00002513,0.00002566,0.0000241,0.0000246,2636197,140356189778.24
ALGOEUR XJ,ALGOEUR,1.1928,1.2049,1.0703,1.1166,2561778,3213345.3935
ALGOGBP XJ,ALGOGBP,1.0325,1.0416,0.9189,0.9195,1822065,2525584.5417
ALGOUSD XJ,ALGOUSD,1.4369,1.4452,1.273,1.2746,36636476,36636476.0000
ANKRBTC XJ,ANKRBTC,0.00000298,0.00000307,0.00000282,0.00000289,33767555,1797849461905.6
ANKREUR XJ,ANKREUR,0.14127,0.14408,0.12597,0.13238,25117760,31506257.9159
ANKRGBP XJ,ANKRGBP,0.12227,0.12478,0.10902,0.11074,11460909,15886093.3083
ANKRUSD XJ,ANKRUSD,0.17021,0.1735,0.15112,0.15407,317505133,317505133.0000
ATOMBTC XJ,ATOMBTC,0.000402,0.000418,0.000387,0.000394,186673.6,9938860877.312
ATOMUSD XJ,ATOMUSD,22.99,23.299,21.11,21.785,1142389.4,1142389.4000
BALBTC XJ,BALBTC,0.00126061,0.00133995,0.0012039,0.00122247,28176.56,1500174153.3952
BALUSD XJ,BALUSD,72,74.977,64.28503,65.15848,304391.902,304391.9020
BANDBTC XJ,BANDBTC,0.00032085,0.00036,0.0002945,0.00034417,244295.08,13006739105.7536
BANDEUR XJ,BANDEUR,15.1956,16.38,13.1568,15.2334,241439.25,302847.3591
BANDGBP XJ,BANDGBP,13.1652,14.1718,11.3827,13.186,174040.52,241239.4986
BANDUSD XJ,BANDUSD,18.3386,19.6952,15.8,18.294,2096976.86,2096976.8600
BATBTC XJ,BATBTC,0.0000226,0.0000227,0.0000213,0.0000219,614538.29,32719198473.1168
BATETH XJ,BATETH,0.00037586,0.00038269,0.00034278,0.00035936,2226247,7213062542.47
BATEUR XJ,BATEUR,1.071,1.071,0.947,0.973,848508.05,1064319.1697
BATUSD XJ,BATUSD,1.291,1.296,1.14,1.192,5500946.02,5500946.0200
BATUSDC XJ,BATUSDC,1.293842,1.293842,1.140157,1.190531,6937186,6936640.6237
BCHBTC XJ,BCHBTC,0.01776,0.01883,0.01705,0.01787,12815.3427956,682313455.8959
BCHEUR XJ,BCHEUR,842.26,878.07,776.59,793.06,11972.13318612,15017.1479
BCHGBP XJ,BCHGBP,730.97,762,671.74,700.82,4921.71491219,6822.0437
BCHUSD XJ,BCHUSD,1016.07,1055,933.77,951.03,121355.70652149,121355.7065
BNTBTC XJ,BNTBTC,0.00013017,0.00013635,0.0001258,0.00013239,164754,8771819287.68
BNTEUR XJ,BNTEUR,6.1756,6.2528,5.8,5.8707,62636.7052,78567.8416
BNTGBP XJ,BNTGBP,5.3655,5.4424,5.0182,5.079,73170.172329,101421.9889
BNTUSD XJ,BNTUSD,7.4361,7.5174,6.9664,7.3364,973159.665838,973159.6658
BTCEUR XJ,BTCEUR,47444.62,47472.16,44240.32,44354.43,2327.24889136,2919.1657
BTCGBP XJ,BTCGBP,41139.49,41169.66,38279.27,38368.02,1320.90143179,1830.9162
BTCUSD XJ,BTCUSD,57212.73,57247.24,53057.7,53241.92,23448.26036662,23448.2604
BTCUSDC XJ,BTCUSDC,57209.98,57231.76,53062.47,53237.71,1273.68655488,1273.5864
BTCUSDT XJ,BTCUSDT,55608.4,56617.7,53104.2,53264.75,252.51951825,252.671
CGLDBTC XJ,CGLDBTC,0.00009587,0.00009807,0.00009159,0.00009318,230449.62,12269580232.0704
CGLDEUR XJ,CGLDEUR,4.5504,4.5644,4.1632,4.1933,201906.49,253259.7632
CGLDGBP XJ,CGLDGBP,3.9382,3.96,3.6101,3.6322,133196.79,184625.5506
CGLDUSD XJ,CGLDUSD,5.4808,5.55,5,5.0408,2132875.64,2132875.6400
COMPBTC XJ,COMPBTC,0.014573,0.014907,0.013625,0.013996,5066.364,269742946.7789
COMPUSD XJ,COMPUSD,832.28,842.1,727.15,740.1,46545.783,46545.7830
CRVBTC XJ,CRVBTC,0.0000567,0.0000567,0.0000531,0.0000542,274013.51,14589005378.3392
CRVEUR XJ,CRVEUR,2.6903,2.6948,2.3523,2.4555,1051784.36,1319297.1554
CRVGBP XJ,CRVGBP,2.3372,2.3372,2.0408,2.1258,377647.39,523461.2434
CRVUSD XJ,CRVUSD,3.2474,3.2496,2.8284,2.95,4168677.39,4168677.3900
CVCUSDC XJ,CVCUSDC,0.582506,0.584128,0.514459,0.528324,16440263,16438970.5265
DAIUSD XJ,DAIUSD,1.001401,1.002602,1.0003,1.00076,30211877.87,30211877.8700
DAIUSDC XJ,DAIUSDC,1.001345,1.002347,1.0003,1.000664,641853.54671,641803.0865
DASHBTC XJ,DASHBTC,0.00599485,0.00695585,0.00571254,0.00679058,12912.79493893,687501995.1149
DASHUSD XJ,DASHUSD,342.835,383.892,315.677,360.019,82116.43173675,82116.4317
DNTUSDC XJ,DNTUSDC,0.327266,0.327892,0.296673,0.300528,36602019,36599141.4828
ENJBTC XJ,ENJBTC,0.0000458,0.0000459,0.0000429,0.0000446,583554.04,31069537513.3568
ENJUSD XJ,ENJUSD,2.618,2.628,2.288,2.432,4958473.01,4958473.0100
EOSBTC XJ,EOSBTC,0.000119,0.000127,0.000113,0.00012,1250007.2,66552783341.824
EOSEUR XJ,EOSEUR,5.661,5.897,5.155,5.282,1262856,1584053.1499
EOSUSD XJ,EOSUSD,6.817,7.088,6.224,6.339,7559855.1,7559855.1000
ETCBTC XJ,ETCBTC,0.000916,0.00135,0.000887,0.001304,1068737.74476231,56901649507.6153
ETCEUR XJ,ETCEUR,43.476,60.45,40.874,57.764,971868.19094659,1219054.9589
ETCGBP XJ,ETCGBP,37.611,48.484,35.462,45.472,220184.42981484,305200.0847
ETCUSD XJ,ETCUSD,52.36,72.699,49.19,69.488,7423771.35621957,7423771.3562
ETHBTC XJ,ETHBTC,0.06005,0.06349,0.05734,0.0609,104034.67412857,5539005797.1794
ETHDAI XJ,ETHDAI,3427.9,3537.1,3164.63,3242.38,5396.07020264,5400.1712
ETHEUR XJ,ETHEUR,2848.77,2940,2640,2700.35,80390.42713549,100837.0783
ETHGBP XJ,ETHGBP,2470.65,2552.4,2285.01,2336.2,38418.7134661,53252.6056
ETHUSD XJ,ETHUSD,3433.99,3534.5,3166.12,3240.01,713146.90975459,713146.9098
ETHUSDC XJ,ETHUSDC,3434.08,3532.24,3167.99,3374.48,41546.78731142,41543.5211
ETHUSDT XJ,ETHUSDT,3295,3525,3171.83,3242.5,6452.03259815,6455.9038
FILBTC XJ,FILBTC,0.00280462,0.00281116,0.00253533,0.00264606,47946.439,2552760469.5229
FILEUR XJ,FILEUR,132.8485,132.8485,112.5006,121.1369,16531.226,20735.8088
FILGBP XJ,FILGBP,115.3416,115.3416,98.5,104.8659,12300.318,17049.6074
FILUSD XJ,FILUSD,160.3,160.4963,136.2648,140.8413,313278.718,313278.7180
FORTHBTC XJ,FORTHBTC,0.0007345,0.0007485,0.0006875,0.0006948,32599.099,1735638621.0301
FORTHEUR XJ,FORTHEUR,34.902,35.131,30.8,30.901,45041.183,56497.0415
FORTHGBP XJ,FORTHGBP,30.342,30.777,26.7,27,22284.886,30889.3281
FORTHUSD XJ,FORTHUSD,42.156,42.497,37,37.071,534651.568,534651.5680
GNTUSDC XJ,GNTUSDC,0.487698,0.489342,0.4343,0.449412,583396,583350.1355
GRTBTC XJ,GRTBTC,0.0000278,0.00002785,0.00002657,0.00002738,2823192.53,150312190826.8576
GRTEUR XJ,GRTEUR,1.3197,1.3197,1.18,1.1935,3851970.13,4831687.3957
GRTGBP XJ,GRTGBP,1.1439,1.1439,1.0221,1.0722,1647040.25,2282980.7910
GRTUSD XJ,GRTUSD,1.5908,1.5923,1.4175,1.4896,25252969.23,25252969.2300
KNCBTC XJ,KNCBTC,0.00005983,0.00006,0.000055,0.00005572,311321.9,16575375694.048
KNCUSD XJ,KNCUSD,3.4228,3.4376,2.934,2.9721,2849328.7,2849328.7000
LINKBTC XJ,LINKBTC,0.00073656,0.00088877,0.00070001,0.00085665,825126.44,43931315908.3648
LINKETH XJ,LINKETH,0.0122606,0.01525997,0.01181,0.01404573,680023.56,2203283134.6356
